NLC,TLC,Station Name,Region,Local Authority,Constituency,NUTS2 Spatial Unit,NUTS2 Spatial_Unit Code,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Network Rail Region of station,CRP Line Designation,Entries Exits_Full,Entries Exits_Reduced,Entries Exits_Season,A1819 Entries Exits,B1718 Entries Exits,C1819 Interchanges,D1819 Entries Exits GB rank,E1718 Entries Exits GB rank,Large station change flag,Small station change flag,Change,Explanation of large change 1819,Source for explanation of large change 1819
5131.0,ABW,Abbey Wood,London,Bexley (London),Erith and Thamesmead,Outer London - East and North East,UKI5,547374.0,179035.0,TfL Rail,,,London Travelcard Area Station,Southern,,882924.0,1233842.0,1652636.0,3769402.0,3124850.0,,145.0,176.0,1.0,,0.20626654079395812,,
3813.0,ABE,Aber,Wales - Cymru,Caerffili - Caerphilly,Caerphilly,West Wales,UKL1,314870.0,186950.0,TfW Rail,,,,Wales & Western,,107666.0,5218.0,132334.0,245218.0,251108.0,,1284.0,1273.0,,,-0.02345604281822966,,
3801.0,ACY,Abercynon,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,West Wales,UKL1,308278.0,194824.0,TfW Rail,,,,Wales & Western,,155766.0,6418.0,126824.0,289008.0,298358.0,33607.0,1207.0,1177.0,,,-0.031338191032249885,,
3982.0,ABA,Aberdare,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Cynon Valley,West Wales,UKL1,300400.0,202800.0,TfW Rail,,,,Wales & Western,,310936.0,23770.0,221074.0,555780.0,571746.0,,852.0,819.0,,,-0.0279249876693497,,
8976.0,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen North Burgh,North Eastern Scotland,UKM5,394127.0,805872.0,ScotRail,,,,Scotland's Railway,,840086.0,1485608.0,290448.0,2616142.0,2948150.0,258416.0,234.0,196.0,1.0,,-0.11261570815596222,Station improvement works in 2018-19,https://www.scottishconstructionnow.com/article/new-roof-planned-in-9m-aberdeen-station-revamp
9090.0,AUR,Aberdour,Scotland,Fife,Kircaldy and Cowdenbeath,Eastern Scotland,UKM7,319100.0,685400.0,ScotRail,,,,Scotland's Railway,,41058.0,66850.0,32140.0,140048.0,135240.0,,1570.0,1586.0,,,0.03555161194912748,,
4435.0,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,West Wales,UKL1,260600.0,296000.0,TfW Rail,,,,Wales & Western,,27302.0,13078.0,10.0,40390.0,37706.0,,2054.0,2075.0,,,0.07118230520341595,,
4440.0,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Dwyfor Meirionnydd,West Wales,UKL1,240400.0,336100.0,TfW Rail,,,,Wales & Western,,1614.0,614.0,,2228.0,2506.0,,2461.0,2449.0,,,-0.1109337589784517,,
3602.0,AGV,Abergavenny,Wales - Cymru,Sir Fynwy - Monmouthshire,Monmouth,East Wales,UKL2,330500.0,213600.0,TfW Rail,,,,Wales & Western,,220540.0,127650.0,85144.0,433334.0,437014.0,,973.0,964.0,,,-0.008420782858215015,,
2448.0,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Clwyd West,West Wales,UKL1,294612.0,378681.0,TfW Rail,,,,Wales & Western,,34068.0,32468.0,7104.0,73640.0,70112.0,,1855.0,1863.0,,,0.05031948881789128,,
4303.0,AYW,Aberystwyth,Wales - Cymru,Sir Ceredigion - Ceredigion,Ceredigion,West Wales,UKL1,258500.0,281600.0,TfW Rail,,,,Wales & Western,,138144.0,169992.0,1284.0,309420.0,335422.0,,1163.0,1117.0,,,-0.07752025806297735,,
2552.0,ACR,Accrington,North West,Hyndburn,Hyndburn,Lancashire,UKD4,375730.0,428575.0,Northern,,,,North West & Central,East Lancashire Line,125312.0,219856.0,77638.0,422806.0,459408.0,,987.0,936.0,,,-0.07967209974575973,,
8600.0,AAT,Achanalt,Scotland,Highland,"Ross, Skye and Lochaber",Highlands and Islands,UKM6,226020.0,861473.0,ScotRail,,,,Scotland's Railway,,318.0,76.0,,394.0,434.0,,2536.0,2529.0,,,-0.09216589861751157,,
8601.0,ACN,Achnasheen,Scotland,Highland,"Ross, Skye and Lochaber",Highlands and Islands,UKM6,216403.0,858519.0,ScotRail,,,,Scotland's Railway,,1778.0,1506.0,,3284.0,3310.0,,2433.0,2435.0,,,-0.007854984894259842,,
8602.0,ACH,Achnashellach,Scotland,Highland,"Ross, Skye and Lochaber",Highlands and Islands,UKM6,200290.0,848440.0,ScotRail,,,,Scotland's Railway,,552.0,268.0,,820.0,870.0,,2514.0,2513.0,,,-0.05747126436781613,,
7662.0,ACK,Acklington,North East,Northumberland,Berwick-upon-Tweed,Northumberland and Tyne and Wear,UKC2,422200.0,601500.0,Northern,,,,Eastern,,250.0,70.0,,320.0,372.0,,2540.0,2534.0,,,-0.13978494623655913,,
7286.0,ACL,Acle,East,Broadland,Broadland,East Anglia,UKH1,639900.0,310000.0,Greater Anglia,,,,Eastern,,13786.0,23102.0,8448.0,45336.0,44914.0,,2013.0,2020.0,,,0.009395734069555184,,
4529.0,ACG,Acocks Green,West Midlands,Birmingham,"Birmingham, Yardley",West Midlands,UKG3,412400.0,283500.0,West Midlands Trains (West Midlands Railway),,West Midlands,,North West & Central,,141074.0,166984.0,233752.0,541810.0,497834.0,,865.0,893.0,,,0.0883346657721249,,
2287.0,ACB,Acton Bridge (Cheshire),North West,Cheshire West and Chester,Weaver Vale,Cheshire,UKD6,359870.0,374560.0,West Midlands Trains (London Northwestern Railway),,,,North West & Central,,11322.0,5776.0,5480.0,22578.0,21058.0,,2194.0,2211.0,,,0.0721815936936081,,
1404.0,ACC,Acton Central,London,Ealing (London),Ealing Central and Acton,Outer London - West and North West,UKI7,520645.0,180295.0,London Overground,,,London Travelcard Area Station,Eastern,,578928.0,776120.0,532114.0,1887162.0,1907986.0,,319.0,306.0,,,-0.010914126204280339,,
3000.0,AML,Acton Main Line,London,Ealing (London),Ealing Central and Acton,Outer London - West and North West,UKI7,520360.0,181230.0,TfL Rail,,,London Travelcard Area Station,Wales & Western,,103344.0,105934.0,101684.0,310962.0,263590.0,,1160.0,1248.0,1.0,,0.17971850221935592,Introduction of TfL Rail services and new trains from May 2018,
1036.0,ADD,Adderley Park,West Midlands,Birmingham,"Birmingham, Hodge Hill",West Midlands,UKG3,409880.0,287250.0,West Midlands Trains (West Midlands Railway),,West Midlands,,North West & Central,,37726.0,29670.0,48330.0,115726.0,86436.0,,1656.0,1792.0,1.0,,0.338863436531075,,
9310.0,ADW,Addiewell,Scotland,West Lothian,Livingston,Eastern Scotland,UKM7,299500.0,662300.0,ScotRail,,,,Scotland's Railway,,4850.0,8674.0,4116.0,17640.0,19616.0,,2244.0,2227.0,1.0,,-0.10073409461663951,,
5550.0,ASN,Addlestone,South East,Runnymede,Runnymede and Weybridge,"Surrey, East and West Sussex",UKJ2,505587.0,164866.0,South Western Railway,,,,Southern,,140320.0,117022.0,174518.0,431860.0,429944.0,,977.0,977.0,,,0.004456394321120882,,
5160.0,ADM,Adisham,South East,Canterbury,Canterbury,Kent,UKJ4,623391.0,153976.0,Southeastern,,,,Southern,,8306.0,10136.0,9158.0,27600.0,25584.0,,2156.0,2170.0,,,0.07879924953095685,,
2939.0,ADC,Adlington (Cheshire),North West,Cheshire East,Macclesfield,Cheshire,UKD6,391200.0,380300.0,Northern,,,,North West & Central,,15704.0,9718.0,5968.0,31390.0,33152.0,,2124.0,2111.0,,,-0.053149131274131234,,
2641.0,ADL,Adlington (Lancashire),North West,Chorley,Chorley,Lancashire,UKD4,360200.0,413135.0,Northern,,,,North West & Central,,29412.0,32950.0,40284.0,102646.0,114488.0,,1716.0,1661.0,1.0,,-0.1034344210746978,Issues with May 2018 timetable introduction,https://orr.gov.uk/rail/consumers/inquiry-into-may-2018-network-disruption
8353.0,AWK,Adwick,Yorkshire And The Humber,Doncaster,Doncaster North,South Yorkshire,UKE3,454375.0,408725.0,Northern,,South Yorkshire,,Eastern,,75464.0,45108.0,50218.0,170790.0,186818.0,,1486.0,1425.0,,,-0.08579473070046784,,
2255.0,AIG,Aigburth,North West,Liverpool,"Liverpool, Riverside",Merseyside,UKD7,338400.0,385700.0,Merseyrail,,Merseyside,,North West & Central,,203518.0,347660.0,313060.0,864238.0,743410.0,,648.0,693.0,1.0,,0.16253211552171742,Industrial action in 2017-18,"https://www.liverpoolecho.co.uk/news/liverpool-news/three-more-strikes-hit-merseyrail-13496076
https://www.wirralglobe.co.uk/news/16044307.passengers-urged-to-plan-ahead-of-strike-on-merseyrail/"
2350.0,ANS,Ainsdale,North West,Sefton,Southport,Merseyside,UKD7,331101.0,412224.0,Merseyrail,,Merseyside,,North West & Central,,199220.0,570274.0,246748.0,1016242.0,928028.0,,571.0,595.0,,,0.09505532160667562,,
